circuit,grid,cube_nr,conn_nr,winner_nr,steps_c/n,winner_steps
multiplier_n80,33,0.0,0.01,cube,71287/71287,tie
qaoa_n20,21,0.0,0.0,tie,90/90,tie
qaoa_n30,24,1.79,1.79,tie,156/156,tie
qaoa_n40,24,3.22,3.22,tie,206/206,tie
qaoa_n50,28,6.73,6.73,tie,312/312,tie
qaoa_n60,29,8.85,8.85,tie,397/397,tie
qaoa_n64,30,8.93,8.93,tie,438/438,tie
qaoa_n70,30,11.52,11.52,tie,528/528,tie
qaoa_n80,31,14.34,14.34,tie,671/671,tie
qft_n20,23,0.0,0.0,tie,74/74,tie
qft_n30,24,2.18,2.18,tie,128/128,tie
qft_n40,26,1.19,1.19,tie,175/175,tie
qft_n50,27,1.33,1.33,tie,219/219,tie
qft_n60,28,0.96,0.96,tie,263/263,tie
qft_n64,28,1.68,1.68,tie,289/289,tie
qft_n70,28,1.6,1.6,tie,323/323,tie
qft_n90,30,2.48,2.48,tie,439/439,tie
synth_n100_d020_mix000_t030_hf000_hm001_r2_s0,34,5.41,3.25,connectivity,158/148,connectivity
synth_n100_d020_mix050_t030_hf000_hm001_r2_s0,34,6.89,8.59,cube,192/206,cube
synth_n100_d020_mix100_t030_hf000_hm001_r2_s0,35,8.45,9.23,cube,219/211,connectivity
synth_n100_d040_mix000_t030_hf000_hm001_r2_s1,35,7.04,6.38,connectivity,396/392,connectivity
synth_n100_d040_mix050_t030_hf000_hm001_r2_s1,35,8.71,8.63,connectivity,401/402,tie
synth_n100_d040_mix100_t030_hf000_hm001_r2_s1,35,9.53,9.76,cube,419/422,tie
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,29,1.64,3.0,cube,142/142,tie
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,28,2.64,3.5,cube,143/145,cube
vqe_two_local_n100,34,24.17,24.17,tie,1419/1419,tie
vqe_two_local_n20,23,2.28,2.28,tie,84/84,tie
vqe_two_local_n30,25,7.51,7.51,tie,164/164,tie
vqe_two_local_n40,27,9.96,9.96,tie,261/261,tie
vqe_two_local_n50,27,14.18,14.18,tie,392/392,tie
vqe_two_local_n60,29,17.51,17.51,tie,521/521,tie
vqe_two_local_n80,30,20.5,20.5,tie,1005/1005,tie
