circuit,grid,cube_steps,conn_steps,conn_minus_cube_pct,dnr,nr_equal,winner
19qubits_511gate_153layers,11,99.0,101.0,2.0,1.09,False,cube
19qubits_521gate_352layers,11,286.0,286.0,0.0,0.0,True,tie
53qubits_155gate_57layers,13,23.0,23.0,0.0,0.0,True,tie
53qubits_332gate_152layers,19,41.0,41.0,0.0,1.3,False,tie
adder_n28,13,24.0,24.0,0.0,0.0,True,tie
adder_n64_transpiled,20,181.0,181.0,0.0,0.0,True,tie
bigadder_n18_transpiled,11,88.0,88.0,0.0,0.0,True,tie
bwt_n21,10,116400.0,116400.0,0.0,0.0,True,tie
bwt_n37,14,33600.0,33621.0,0.1,0.03,True,tie
bwt_n57,18,65600.0,65600.0,0.0,0.0,True,tie
bwt_n97,27,129600.0,130068.0,0.4,0.41,False,tie
dnn_n16,9,48.0,48.0,0.0,0.0,True,tie
factor247_n15,10,349644.0,349644.0,0.0,0.0,True,tie
ghz_n10,8,9.0,9.0,0.0,0.0,True,tie
ghz_n100,21,99.0,99.0,0.0,0.0,True,tie
ghz_n20,9,19.0,19.0,0.0,0.0,True,tie
ghz_n30,12,29.0,29.0,0.0,0.0,True,tie
ghz_n40,13,39.0,39.0,0.0,0.0,True,tie
ghz_n50,16,49.0,49.0,0.0,0.0,True,tie
ghz_n60,17,59.0,59.0,0.0,0.0,True,tie
ghz_n70,18,69.0,69.0,0.0,0.0,True,tie
ghz_n80,20,79.0,79.0,0.0,0.0,True,tie
ghz_n90,20,89.0,89.0,0.0,0.0,True,tie
ghz_state_n23,10,22.0,22.0,0.0,0.0,True,tie
graphstate_n10,7,4.0,4.0,0.0,0.0,True,tie
graphstate_n100,24,8.0,8.0,0.0,0.0,True,tie
graphstate_n20,10,4.0,4.0,0.0,0.0,True,tie
graphstate_n30,12,6.0,6.0,0.0,0.0,True,tie
graphstate_n40,15,4.0,4.0,0.0,0.0,True,tie
graphstate_n50,16,5.0,5.0,0.0,0.0,True,tie
graphstate_n60,17,5.0,5.0,0.0,0.0,True,tie
graphstate_n70,18,5.0,5.0,0.0,0.0,True,tie
graphstate_n80,22,6.0,6.0,0.0,0.0,True,tie
graphstate_n90,23,5.0,5.0,0.0,0.0,True,tie
grover_n10,9,11008.0,11008.0,0.0,0.0,True,tie
grover_n20,11,2146489.0,2146489.0,0.0,0.0,True,tie
hhl_n10,8,72039.0,72039.0,0.0,0.0,True,tie
ising_n10,8,4.0,4.0,0.0,0.0,True,tie
ising_n100,23,4.0,4.0,0.0,0.0,True,tie
ising_n20,9,4.0,4.0,0.0,0.0,True,tie
ising_n26,12,4.0,4.0,0.0,0.0,True,tie
ising_n30,12,4.0,4.0,0.0,0.0,True,tie
ising_n40,15,4.0,4.0,0.0,0.0,True,tie
ising_n50,16,4.0,4.0,0.0,0.0,True,tie
ising_n60,18,4.0,4.0,0.0,0.0,True,tie
ising_n70,18,4.0,4.0,0.0,0.0,True,tie
ising_n80,20,4.0,4.0,0.0,0.0,True,tie
ising_n90,20,4.0,4.0,0.0,0.0,True,tie
multiplier_n100,27,111762.0,111760.0,-0.0,0.0,True,tie
multiplier_n15,7,12.0,12.0,0.0,0.0,True,tie
multiplier_n20,11,3990.0,3990.0,0.0,0.0,True,tie
multiplier_n40,21,17329.0,17329.0,0.0,0.0,True,tie
multiplier_n45,12,36.0,36.0,0.0,0.0,True,tie
multiplier_n60,23,39730.0,39731.0,0.0,0.01,True,tie
multiplier_n75,16,60.0,60.0,0.0,0.0,True,tie
multiplier_n80,33,71287.0,,,,,conn_untested_high
multiply_n13,5,2.0,2.0,0.0,0.0,True,tie
qaoa_n10,8,46.0,46.0,0.0,0.0,True,tie
qaoa_n100,27,1065.0,1065.0,0.0,0.0,True,tie
qaoa_n20,21,90.0,,,,,conn_untested_high
qaoa_n30,24,156.0,,,,,conn_untested_high
qaoa_n40,24,206.0,,,,,conn_untested_high
qaoa_n50,28,312.0,,,,,conn_untested_high
qaoa_n60,29,397.0,,,,,conn_untested_high
qaoa_n64,30,438.0,,,,,conn_untested_high
qaoa_n70,30,528.0,,,,,conn_untested_high
qaoa_n80,31,671.0,,,,,conn_untested_high
qaoa_n90,29,890.0,890.0,0.0,0.0,True,tie
qft_n10,9,34.0,34.0,0.0,0.0,True,tie
qft_n100,28,492.0,517.0,5.1,1.12,False,cube
qft_n18,18,70.0,70.0,0.0,0.0,True,tie
qft_n20,23,74.0,,,,,conn_untested_high
qft_n30,24,128.0,,,,,conn_untested_high
qft_n40,26,175.0,,,,,conn_untested_high
qft_n50,27,219.0,,,,,conn_untested_high
qft_n60,28,263.0,,,,,conn_untested_high
qft_n64,28,289.0,,,,,conn_untested_high
qft_n70,28,323.0,,,,,conn_untested_high
qft_n80,28,370.0,370.0,0.0,0.0,True,tie
qft_n90,30,439.0,,,,,conn_untested_high
qram_n20,7,8.0,8.0,0.0,0.0,True,tie
randomcircuit_n50,27,1361.0,1379.0,1.3,0.6,False,cube
seca_n11,8,19.0,19.0,0.0,0.0,True,tie
square_root_n18,9,27.0,27.0,0.0,0.0,True,tie
square_root_n45,13,570.0,570.0,0.0,0.0,True,tie
synth_n100_d020_mix000_t030_hf000_hm001_r2_s0,34,158.0,,,,,conn_untested_high
synth_n100_d020_mix050_t030_hf000_hm001_r2_s0,34,192.0,,,,,conn_untested_high
synth_n100_d020_mix100_t030_hf000_hm001_r2_s0,35,219.0,,,,,conn_untested_high
synth_n100_d040_mix000_t030_hf000_hm001_r2_s1,35,396.0,,,,,conn_untested_high
synth_n100_d040_mix050_t030_hf000_hm001_r2_s1,35,401.0,,,,,conn_untested_high
synth_n100_d040_mix100_t030_hf000_hm001_r2_s1,35,419.0,,,,,conn_untested_high
synth_n50_d020_mix000_t030_hf000_hm001_r2_s0,25,60.0,67.0,11.7,2.86,False,cube
synth_n50_d020_mix050_t030_hf000_hm001_r2_s0,22,69.0,74.0,7.2,1.57,False,cube
synth_n50_d020_mix100_t030_hf000_hm001_r2_s0,22,70.0,73.0,4.3,3.14,False,cube
synth_n50_d040_mix000_t030_hf000_hm001_r2_s0,26,132.0,133.0,0.8,0.86,False,tie
