circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
continuous_3_17_13,3,2,16,17,17,0.0,False,2,False,0.0,2,False,0.0,2,False,0.0
fredkin_n3,3,4,17,10,10,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
simon_n6,3,2,16,2,2,0.0,False,2,False,0.0,2,False,0.0,2,False,0.0
toffoli_n3,3,4,17,11,11,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
adder_n4,4,5,18,8,8,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
example,4,4,17,21,21,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
vqe_uccsd_n4,4,3,16,87,87,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
ghz_n5,5,3,17,4,4,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
graphstate_n5,5,3,17,4,4,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
grover_n5,5,5,18,209,209,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
ising_n5,5,3,17,4,4,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
qaoa_n5,5,4,17,16,14,12.5,True,6,False,0.0,6,False,0.0,6,False,0.0
qec_en_n5,5,4,18,11,11,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
qft_n5,5,4,17,16,14,12.5,True,5,False,0.0,5,False,0.0,5,False,0.0
vqe_real_amp_n5,5,3,17,8,8,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
vqe_su2_n5,5,3,17,8,8,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
vqe_two_local_n5,5,4,17,20,17,15.0,True,5,False,0.0,5,False,0.0,5,False,0.0
wstate_n5,5,3,17,6,6,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
multiply_n13,6,3,17,2,2,0.0,False,3,False,0.0,3,False,0.0,3,False,0.0
qaoa_n6,6,4,17,33,33,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
qaoa_n6_transpiled,6,4,17,33,33,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
parallel,8,4,18,10,10,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
t_test,8,4,20,111,110,0.9,False,4,False,2.0,4,False,2.0,4,False,2.0
t_test2,8,6,21,3907,3904,0.08,False,6,False,0.095,6,False,0.095,6,False,0.095
vqe_uccsd_n8,8,5,18,5446,5446,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
