circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
continuous_3_17_13,3,4,19,17,17,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
fredkin_n3,3,5,20,11,10,9.09,True,6,False,0.0,6,False,0.0,5,False,6.667
simon_n6,3,4,19,2,2,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
toffoli_n3,3,5,20,11,11,0.0,False,5,False,7.692,5,False,7.692,5,False,7.692
adder_n4,4,6,22,9,8,11.11,True,7,False,0.0,7,False,0.0,7,False,0.0
example,4,5,21,22,21,4.55,False,6,False,0.0,5,False,3.125,5,False,3.125
vqe_uccsd_n4,4,4,19,87,87,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
ghz_n5,5,5,20,4,4,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
graphstate_n5,5,5,20,4,4,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
grover_n5,5,6,22,209,209,0.0,False,6,False,0.0,6,False,0.0,6,False,0.0
ising_n5,5,5,20,5,4,20.0,True,6,False,0.0,6,False,0.0,6,False,0.0
qaoa_n5,5,5,20,15,14,6.67,True,6,False,0.0,6,False,0.0,5,False,4.167
qec_en_n5,5,5,21,11,11,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
qft_n5,5,5,20,16,14,12.5,True,6,False,0.0,6,False,0.0,6,False,0.0
vqe_real_amp_n5,5,5,20,8,8,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
vqe_su2_n5,5,5,20,8,8,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
vqe_two_local_n5,5,5,20,20,17,15.0,True,6,False,0.0,6,False,0.0,6,False,0.0
wstate_n5,5,5,20,6,6,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
multiply_n13,6,5,20,2,2,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
qaoa_n6,6,5,20,33,33,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
qaoa_n6_transpiled,6,5,20,33,33,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
parallel,8,5,21,13,10,23.08,True,7,False,0.0,7,False,0.0,7,False,0.0
t_test,8,10,24,110,110,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
t_test2,8,10,24,3904,3904,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
vqe_uccsd_n8,8,5,21,5446,5446,0.0,False,5,False,0.018,5,False,0.018,5,False,0.018
multiplier_n15,9,7,21,12,12,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
qpe_n9_transpiled,9,6,22,42,42,0.0,False,6,False,0.0,6,False,0.0,6,False,0.0
qram_n20,9,5,21,10,8,20.0,True,7,False,0.0,7,False,0.0,7,False,0.0
ghz_n10,10,8,22,9,9,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
graphstate_n10,10,7,22,4,4,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
grover_n10,10,9,23,11008,11008,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
hhl_n10,10,8,22,72039,72039,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
ising_n10,10,8,22,4,4,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
qaoa_n10,10,8,22,46,46,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
qft_n10,10,8,22,34,34,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
vqe_real_amp_n10,10,8,22,13,13,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
vqe_su2_n10,10,8,22,13,13,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
vqe_two_local_n10,10,8,22,40,38,5.0,True,13,False,0.741,9,False,1.482,8,False,2.222
wstate_n10,10,8,22,11,11,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
seca_n11,11,8,22,19,19,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
square_root_n18,14,9,23,27,27,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
factor247_n15,15,10,25,349650,349644,0.0,False,10,False,0.002,10,False,0.002,10,False,0.002
dnn_n16,16,9,23,48,48,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
bigadder_n18_transpiled,18,10,24,88,88,0.0,False,10,False,1.538,10,False,1.538,10,False,1.538
qft_n18,18,10,24,83,70,15.66,True,12,False,3.268,11,False,6.863,11,False,6.863
19qubits_511gate_153layers,19,10,24,99,99,0.0,False,10,False,3.825,10,False,3.825,10,False,3.825
19qubits_521gate_352layers,19,10,24,287,286,0.35,False,10,False,1.177,10,False,1.177,10,False,1.177
ghz_n20,20,9,24,19,19,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
graphstate_n20,20,10,24,4,4,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
ising_n20,20,9,24,4,4,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
multiplier_n20,20,11,26,3990,3990,0.0,False,11,False,0.0,11,False,0.0,11,False,0.0
grover_n20,20,11,23,2146489,2146489,0.0,False,11,False,0.0,11,False,0.0,11,False,0.0
parallel_big,20,9,24,8,8,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
qaoa_n20,20,10,24,101,92,8.91,True,12,False,4.891,11,False,10.598,10,False,10.326
qft_20,20,10,25,107,81,24.3,True,12,False,6.316,12,False,6.316,11,False,14.737
qft_n20,20,10,25,112,81,27.68,True,14,False,7.632,12,False,9.21,12,False,9.21
vqe_real_amp_n20,20,9,24,23,23,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
vqe_su2_n20,20,9,24,23,23,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
vqe_two_local_n20,20,10,25,132,93,29.55,True,13,False,12.982,13,False,12.982,12,False,15.263
wstate_n20,20,9,24,21,21,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
bwt_n21,21,10,25,116400,116400,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
ghz_state_n23,23,10,25,22,22,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
ising_n26,26,12,25,4,4,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
53qubits_155gate_57layers,27,13,26,23,23,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
multiplier_n45,27,12,25,36,36,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
wstate_n27,27,12,25,28,28,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
adder_n28,28,13,26,24,24,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
bwt_n37,28,14,27,33609,33600,0.03,False,14,False,0.055,14,False,0.055,14,False,0.055
ghz_n30,30,12,26,29,29,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
graphstate_n30,30,12,26,6,6,0.0,False,12,False,3.333,12,False,3.333,12,False,3.333
ising_n30,30,12,26,4,4,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
qaoa_n30,30,13,26,163,142,12.88,True,20,False,7.024,19,False,7.381,15,False,9.167
